strom_tag,strom_nacht,gas,wasser,timestamp,kommentar
4728,9347,11453.93,370.41,2021-03-22T07:45:28Z,airbnb
4732,9349,11458.01,370.69,2021-03-23T07:42:07Z,airbnb
4736,9352,11460.69,370.77,2021-03-24T07:35:09Z,airbnb
4739,9357,11462.77,371.01,2021-03-25T07:38:47Z,airbnb
4743,9359,11464.3,371.14,2021-03-26T07:53:51Z,airbnb
4745.68,9363,11464.47,371.34,2021-03-27T07:41:00Z,NA
4745.68,9370.54,11464.491,371.441,2021-03-27T23:59:59Z,NA
4745.68,9372.89,11464.517,371.468,2021-03-28T23:59:59Z,abwesend
4746.55,9373.7,11464.517,371.468,2021-03-29T23:59:59Z,abwesend
4747.38,9374.51,11464.517,371.468,2021-03-30T23:59:59Z,abwesend
4748.22,9375.32,11464.517,371.468,2021-03-31T23:59:59Z,abwesend
4749.1,9376.13,11464.517,371.468,2021-04-01T23:59:59Z,abwesend
4749.94,9376.98,11464.517,371.468,2021-04-02T23:59:59Z,abwesend
4749.94,9378.65,11464.517,371.468,2021-04-03T23:59:59Z,abwesend
4749.94,9380.33,11464.517,371.468,2021-04-04T23:59:59Z,abwesend
4750.77,9380.94,11464.517,371.468,2021-04-05T21:38:59Z,abwesend
4750.77,9381.55,11465.303,371.48,2021-04-05T23:59:59Z,NA
4754.35,9386.17,11466.187,371.61,2021-04-06T23:59:59Z,NA
4757.74,9388.59,11467.932,371.72,2021-04-07T23:59:59Z,NA
4761.23,9391.68,11468.536,371.84,2021-04-08T23:59:59Z,nur WW
4763.53,9394.56,11468.79,371.91,2021-04-09T23:59:59Z,nur WW
